min_delta,max_lvn_ratio,min_impulse_size,min_impulse_score,take_profit,trailing_stop,stop_buffer,breakout_threshold,max_hunting_bars,total_trades,wins,losses,breakevens,win_rate,profit_factor,sharpe_ratio,avg_win,avg_loss,total_pnl,max_drawdown,rr_ratio,expectancy
20,0.25,20,4,30,6,2,2,600,26,9,17,0,34.62,1.50,2.57,6.61,-2.34,19.75,402.00,2.83,0.76
20,0.25,20,4,30,6,2,2,900,26,9,17,0,34.62,1.50,2.57,6.61,-2.34,19.75,402.00,2.83,0.76
20,0.25,20,4,30,6,3,2,600,26,10,16,0,38.46,1.21,1.29,6.25,-3.23,10.75,402.00,1.93,0.41
20,0.25,20,4,30,6,3,2,900,26,10,16,0,38.46,1.21,1.29,6.25,-3.23,10.75,402.00,1.93,0.41
20,0.25,20,4,30,7,2,2,600,26,9,17,0,34.62,1.19,1.13,5.61,-2.50,8.00,422.00,2.24,0.31
20,0.25,20,4,30,7,2,2,900,26,9,17,0,34.62,1.19,1.13,5.61,-2.50,8.00,422.00,2.24,0.31
20,0.25,20,4,30,7,3,2,600,26,10,16,0,38.46,0.95,-0.39,5.25,-3.47,-3.00,442.00,1.51,-0.12
20,0.25,20,4,30,7,3,2,900,26,10,16,0,38.46,0.95,-0.39,5.25,-3.47,-3.00,442.00,1.51,-0.12
20,0.25,20,4,30,8,2,2,600,26,8,18,0,30.77,1.55,2.13,8.38,-2.40,23.75,442.00,3.49,0.91
20,0.25,20,4,30,8,2,2,900,26,8,18,0,30.77,1.55,2.13,8.38,-2.40,23.75,442.00,3.49,0.91
20,0.25,20,4,30,8,3,2,600,26,9,17,0,34.62,1.28,1.35,8.00,-3.31,15.75,402.00,2.42,0.61
20,0.25,20,4,30,8,3,2,900,26,9,17,0,34.62,1.28,1.35,8.00,-3.31,15.75,402.00,2.42,0.61
20,0.25,20,4,35,5,2,2,600,26,10,16,0,38.46,1.63,3.02,5.75,-2.20,22.25,382.00,2.61,0.86
20,0.25,20,4,35,5,2,2,900,26,10,16,0,38.46,1.63,3.02,5.75,-2.20,22.25,382.00,2.61,0.86
20,0.25,20,4,35,5,3,2,600,26,11,15,0,42.31,1.33,1.90,5.59,-3.08,15.25,362.00,1.81,0.59
20,0.25,20,4,35,5,3,2,900,26,11,15,0,42.31,1.33,1.90,5.59,-3.08,15.25,362.00,1.81,0.59
20,0.25,20,4,35,6,2,2,600,26,9,17,0,34.62,1.50,2.57,6.61,-2.34,19.75,402.00,2.83,0.76
20,0.25,20,4,35,6,2,2,900,26,9,17,0,34.62,1.50,2.57,6.61,-2.34,19.75,402.00,2.83,0.76
20,0.25,20,4,35,6,3,2,600,26,10,16,0,38.46,1.21,1.29,6.25,-3.23,10.75,402.00,1.93,0.41
20,0.25,20,4,35,6,3,2,900,26,10,16,0,38.46,1.21,1.29,6.25,-3.23,10.75,402.00,1.93,0.41
20,0.25,20,4,35,7,2,2,600,26,9,17,0,34.62,1.19,1.13,5.61,-2.50,8.00,422.00,2.24,0.31
20,0.25,20,4,35,7,2,2,900,26,9,17,0,34.62,1.19,1.13,5.61,-2.50,8.00,422.00,2.24,0.31
20,0.25,20,4,35,7,3,2,600,26,10,16,0,38.46,0.95,-0.39,5.25,-3.47,-3.00,442.00,1.51,-0.12
20,0.25,20,4,35,7,3,2,900,26,10,16,0,38.46,0.95,-0.39,5.25,-3.47,-3.00,442.00,1.51,-0.12
20,0.25,20,4,35,8,2,2,600,27,8,19,0,29.63,1.31,1.42,7.84,-2.53,14.75,442.00,3.10,0.55
20,0.25,20,4,35,8,2,2,900,27,8,19,0,29.63,1.31,1.42,7.84,-2.53,14.75,442.00,3.10,0.55
20,0.25,20,4,35,8,3,2,600,27,9,18,0,33.33,1.09,0.52,7.53,-3.44,5.75,446.00,2.19,0.21
20,0.25,20,4,35,8,3,2,900,27,9,18,0,33.33,1.09,0.52,7.53,-3.44,5.75,446.00,2.19,0.21
25,0.25,20,4,25,5,2,2,600,18,7,10,1,38.89,1.84,3.62,5.46,-2.08,17.50,224.00,2.63,0.97
25,0.25,20,4,25,5,2,2,900,18,7,10,1,38.89,1.84,3.62,5.46,-2.08,17.50,224.00,2.63,0.97
25,0.25,20,4,25,5,3,2,600,18,8,10,0,44.44,1.57,2.94,5.34,-2.73,15.50,291.00,1.96,0.86
25,0.25,20,4,25,5,3,2,900,18,8,10,0,44.44,1.57,2.94,5.34,-2.73,15.50,291.00,1.96,0.86
25,0.25,20,4,25,6,2,2,600,19,7,11,1,36.84,1.98,3.94,7.50,-2.41,26.00,244.00,3.11,1.37
25,0.25,20,4,25,6,2,2,900,19,7,11,1,36.84,1.98,3.94,7.50,-2.41,26.00,244.00,3.11,1.37
25,0.25,20,4,25,6,3,2,600,19,8,11,0,42.11,1.60,2.99,7.00,-3.18,21.00,291.00,2.20,1.11
25,0.25,20,4,25,6,3,2,900,19,8,11,0,42.11,1.60,2.99,7.00,-3.18,21.00,291.00,2.20,1.11
25,0.25,20,4,25,7,2,2,600,19,7,11,1,36.84,1.72,3.10,6.50,-2.41,19.00,264.00,2.70,1.00
25,0.25,20,4,25,7,2,2,900,19,7,11,1,36.84,1.72,3.10,6.50,-2.41,19.00,264.00,2.70,1.00
25,0.25,20,4,25,7,3,2,600,19,8,11,0,42.11,1.37,1.99,6.00,-3.18,13.00,291.00,1.89,0.68
25,0.25,20,4,25,7,3,2,900,19,8,11,0,42.11,1.37,1.99,6.00,-3.18,13.00,291.00,1.89,0.68
25,0.25,20,4,25,8,2,2,600,19,6,12,1,31.58,1.44,2.12,6.54,-2.27,12.00,284.00,2.88,0.63
25,0.25,20,4,25,8,2,2,900,19,6,12,1,31.58,1.44,2.12,6.54,-2.27,12.00,284.00,2.88,0.63
25,0.25,20,4,25,8,3,2,600,19,7,12,0,36.84,1.25,1.45,6.39,-2.98,9.00,310.00,2.15,0.47
25,0.25,20,4,25,8,3,2,900,19,7,12,0,36.84,1.25,1.45,6.39,-2.98,9.00,310.00,2.15,0.47
